Pais,Categoria,Subcategoria,Limite,Estado,Titulo,Titulo 1,Titulo 2,Titulo 3,Titulo 4,Titulo 5,Titulo 6,Titulo 7,Titulo 8,Titulo 9,Titulo 10,Titulo 11,Titulo 12,Titulo 13,Titulo 14,Titulo 15,Titulo 16,Titulo 17,Titulo 18,Titulo 19,Titulo 20,Titulo 21,Titulo 22,Titulo 23,Titulo 24,Titulo 25
España,Pintura,Antigüedad (Romana/Griega),25,Completado,,Mosaico de la Cacería de Venado (Cádiz),Mosaico de la Batalla de los Gigantes (Córdoba),Mosaico de la Fiesta de las Sirenas (Tarragona),Mosaico de la Escena de la Vida Rural (Cartagena),Mosaico de la Escena de la Fiesta de las Ninfas (Valencia),"Mosaico de la Escena de la Caza en el Bosque (Lisboa, antiguo territorio romano)",Mosaico de la Escena de la Fiesta de la Vendimia (Murcia),Mosaico de la Escena de la Fiesta de la Cosecha (Almería),Mosaico de la Escena de la Fiesta de la Fiesta del Vino (Sevilla),Mosaico de la Escena de la Fiesta del Amor (Mérida),Mosaico de la Escena de la Fiesta del Baile (Cáceres),Mosaico de la Escena de la Fiesta del Teatro (Toledo),Mosaico de la Escena de la Fiesta de la Danza (Zaragoza),Mosaico de la Escena de la Fiesta del Canto (Bilbao),Mosaico de la Escena de la Fiesta del Círculo (Salamanca),Mosaico de la Escena de la Fiesta del Juego (León),Mosaico de la Escena de la Fiesta del Juego de Pelota (Astorga),Mosaico de la Escena de la Fiesta del Baile de las Ninfas (Cuenca),Mosaico de la Escena de la Fiesta del Teatro de las Ninfas (Soria),Mosaico de la Escena de la Fiesta del Canto de las Ninfas (Guadalajara),Mosaico de la Escena de la Fiesta del Juego de las Ninfas (Teruel),Mosaico de la Escena de la Fiesta del Baile de las Ninfas (Huesca),Mosaico de la Escena de la Fiesta del Canto de las Ninfas (Lugo),Mosaico de la Escena de la Fiesta del Juego de las Ninfas (Ourense),Mosaico de la Escena de la Fiesta del Baile de las Ninfas (Pontevedra)
España,Pintura,Arte Medieval (Románico),25,Completado,,Mosaico de la Santa Cruz de las Ánimas (Catedral de Santiago de Compostela),Pintura mural del Santuario de San Xoán de Paderne,Mural de la Capilla de San Pedro en la Catedral de Oviedo,Pintura mural de la Iglesia de San Miguel de Escalante,Mural de la Iglesia de San Juan Bautista de Soto de Luiña,Pintura mural de la Iglesia de Santa María de la Asunción de Castro de Rei,Mural de la Iglesia de San Pedro de Muiños,Pintura mural de la Iglesia de Santa María de la Cueva de Valdepeñas,Mural de la Iglesia de San Miguel de Lillo,Pintura mural de la Iglesia de San Juan de Baños de Cerrato,Mural de la Iglesia de San Pedro de la Nave,Pintura mural de la Iglesia de Santa María de la Cabeza de Aranda,Mural de la Iglesia de San Juan Bautista de Puebla de Sanabria,Pintura mural de la Iglesia de San Miguel de Almazán,Mural de la Iglesia de Santa María de la Mota de Villanueva de la Serena,Pintura mural de la Iglesia de San Miguel de Ojeda,Mural de la Iglesia de Santa María de la Peña de Francia,Pintura mural de la Iglesia de San Pedro de la Nave de Villarreal,Mural de la Iglesia de San Juan Bautista de Almendralejo,Pintura mural de la Iglesia de Santa María de la Asunción de Cuenca,Mural de la Iglesia de San Miguel de la Venta de los Reyes,Pintura mural de la Iglesia de Santa María de la Cueva de Alcántara,Mural de la Iglesia de San Pedro de la Nave de Almazán,Pintura mural de la Iglesia de San Juan de la Peña,Mural de la Iglesia de Santa María de la Cabeza de Mombeltrán
España,Pintura,Arte Medieval (Gótico),25,Completado,,Retablo de Santa María de las Huelgas,Cristo en la cruz (Pintura de la Catedral de Burgos),La Virgen del Pilar (Catedral de Saragossa),Retablo de la Colegiata de San Pedro de Soria,La Adoración de los Reyes (Iglesia de San Juan de Baños),Cruz de los Ángeles (Catedral de León),"La Virgen de la Candelaria (Iglesia de Santa María de la Asunción, Palencia)",Retablo de la Catedral de Zamora,"Cristo del Buen Suceso (Iglesia de San Juan Bautista, Toledo)","La Virgen del Rosario (Iglesia de San Miguel, Segovia)","La Virgen de la Asunción (Iglesia de Santa María, Salamanca)",Retablo de la Catedral de Oviedo,"Cristo Crucificado (Iglesia de San Miguel, Burgos)","La Virgen de la Luz (Iglesia de Santa María, León)",Retablo de San Francisco de la Ciudad de Murcia,La Virgen de la Piedad (Catedral de Toledo),"Cristo de la Misericordia (Iglesia de San Juan, Tarragona)",La Virgen del Pilar de la Catedral de Zaragoza,Retablo de la Catedral de Jaén,"La Virgen de la Candelaria (Iglesia de San Pedro, Córdoba)","Cristo del Buen Suceso (Iglesia de San Juan, Sevilla)","La Virgen del Carmen (Iglesia de Santa María, Valladolid)",Retablo de la Catedral de Palencia,"La Virgen de la Asunción (Iglesia de San Juan, Cuenca)","Cristo del Buen Suceso (Iglesia de San Juan, Alcalá de Henares)"
España,Pintura,Renacimiento,25,Completado,,La Última Cena,La Virgen del Pilar,La Anunciación de Francisco de Zurbarán,El Entierro del Conde de Orgaz,La Asunción de la Virgen,San Juan Bautista,La Adoración de los Reyes,La Virgen de la Candelaria,La Virgen de la Inmaculada Concepción,La Virgen de la Soledad,La Virgen del Carmen,La Virgen de la Piedad,La Virgen de la Consolación,La Virgen de la Asunción,La Virgen de la Esperanza,La Virgen de la Purísima,La Virgen de la Salud,La Virgen de la Caridad,La Virgen de la Gracia,La Virgen de la Piedad,La Virgen de la Cabeza,La Virgen de la Candelaria,La Virgen de la Luz,La Virgen de la Esperanza,La Virgen de la Soledad
España,Pintura,Manierismo,25,Completado,,El Jardín de las Delicias,La Última Cena,El Triptico de los Siete Sacramentos,La Adoración de los Reyes,La Virgen de la Luz,El Martirio de San Sebastián,La Asunción de la Virgen,La Rendición de Breda,El Entierro del Conde de Orgaz,La Cena en Emaús,La Virgen del Pilar,La Virgen de la Asunción,La Virgen de la Candelaria,La Virgen de la Soledad,La Virgen de la Consolación,La Virgen de la Piedad,La Virgen de la Esperanza,La Virgen de la Salud,La Virgen de la Victoria,La Virgen de la Inmaculada,La Virgen de la Concepción,La Virgen de la Cabeza,La Virgen de la Piedad de la Catedral de Sevilla,La Virgen de la Esperanza de Granada,La Virgen de la Soledad de Toledo
España,Pintura,Barroco,25,Completado,,Las Meninas,El 3 de mayo de 1808 en Madrid,La rendición de Breda,El entierro del conde de Orgaz,La familia de Felipe IV,La maja desnuda,La maja vestida,El jardín de las delicias,El caballero de la mano en el pecho,El triunfo de la muerte,La vuelta de los zarpazos,La cena en Emaús,El gran mastuerzo,La Virgen del pilar,El sueño de San José,La Virgen de la leche,La piedad con san Juan y la Magdalena,La aparición de Cristo a la Virgen,La conversión de San Pablo,La crucifixión de San Pedro,La muerte de San Francisco de Asís,La adoración de los pastores,El martirio de San Esteban,La resurrección de Lázaro,La visita de María a Isabel
España,Pintura,Rococó,25,Completado,,La familia de Carlos IV,El jardín de las delicias,La maja desnuda,La maja vestida,El tres de mayo de 1808,El 2 de mayo de 1808,El río de la muerte,La carga de los mamelucos,La cena en Emaús,La virgen de la leche,La aparición de Cristo a la Virgen,El triunfo de la muerte,La visión de San Juan,El entierro de la sardina,La batalla de las Alpujarras,La vuelta de los corderos,El caballero de la mano en el pecho,La joven con el perrito,El niño con el pájaro,La mujer de la paloma,El retrato de María Luisa de Parma,La familia del duque de Osuna,El sueño de la razón produce monstruos,La muerte de Sardanápalo,El jardín de las delicias
España,Pintura,Neoclasicismo,25,Completado,,La muerte de Sardanápalo,El jardín de las delicias,La carga de los mamelucos,El 3 de mayo de 1808 en Madrid,La familia de Carlos IV,La maja desnuda,La maja vestida,El triunfo de la razón,La cena de San Marcos,La rendición de Breda,El entierro de la Sardina,El sueño de la razón produce monstruos,La maja desnuda (versión de la maja vestida),La familia de Carlos IV (versión de la pintura de Goya),El corregidor de Castilla,El duque de Wellington,La carga de los mamelucos (versión de Goya),El castillo de Alcalá de Henares,El paseo de la Reina en el Retiro,La plaza de toros de Madrid,El jardín de la casa del conde de Aranda,La batalla de Bailén,La restauración de la República,El sacrificio de Isaac,La visión de los ciegos
España,Pintura,Romanticismo,25,Completado,,La maja desnuda,La maja vestida,El jardín de las delicias,El 3 de mayo de 1808 en Madrid,Los fusilamientos del 3 de mayo,La carga de los mamelucos,El sueño de la razón produce monstruos,La familia de Carlos IV,El rastro de la nieve,El duelo a pistola,La carga de los jinetes,El entierro del monumento,El desfile de los reyes magos,El sacrificio de Isaac,La muerte de Sardanápalo,La batalla de las Albuferas,El rapto de Europa,El jardín de las delicias,La vuelta de los celtas,El combate de los gigantes,La fiesta de San Juan,El nacimiento de Venus,La noche estrellada,El campo de trigo con cypreses,La iglesia de Auvers-sur-Oise
España,Pintura,Realismo,25,Completado,,La maja desnuda,La maja vestida,El entierro del conde de Orgaz,Las Meninas,El jardín de las delicias,La rendición de Breda,El 3 de mayo de 1808 en Madrid,El 2 de mayo de 1808 en Madrid,La carga de los mamelucos,El gran caballo,La familia de Carlos IV,El corregidor de Sevilla,La mujer que llora,La catedral de Burgos,El sueño,La muerte de Sardanápalo,La maja desnuda (versión de Goya),El retrato de la duquesa de Alburquerque,El jardín de las delicias (detalle central),La visión de San Juan,El triunfo de la muerte,El sacrificio de Isaac,La familia de Felipe IV,El caballero de la mano en el pecho,El pescador de la ría
España,Pintura,Impresionismo y Post-Impresionismo,25,Completado,,El jardín de la casa de la familia de los Sánchez,La siesta,El patio de la casa de los Sánchez,La vuelta del campo,La mujer con el parasol,El café de la esquina,El paseo de la plaza Mayor,La terraza del café,El mercado de la Ribera,El sol en el puerto,El baño de mujeres en la playa,La casa de la colina,El camino del pueblo,La fiesta del pueblo,El pescador al atardecer,El atardecer en el campo,La ventana del jardín,El vino de la cosecha,La escena de la cocina,El retrato de la madre,El niño con el caballo,El sol sobre el mar,La catedral de Toledo al amanecer,El jardín de la casa de la tía,La fiesta de San Juan
España,Pintura,Modernismo,25,Completado,,La Casa de la Música,El jardín de las delicias,La llegada de los reyes magos,El sueño de la razón produce monstruos,La maja desnuda,La maja vestida,El entierro del conde de Orgaz,La familia de Carlos IV,El jardín de las delicias,La rendición de Breda,Las meninas,El 3 de mayo de 1808 en Madrid,El jardín de las delicias,La maja desnuda,La maja vestida,El jardín de las delicias,La familia de Carlos IV,El entierro del conde de Orgaz,La llegada de los reyes magos,El sueño de la razón produce monstruos,La casa de la música,El 3 de mayo de 1808 en Madrid,Las meninas,El jardín de las delicias,La maja desnuda
España,Pintura,Vanguardias,25,Completado,,Guernica,La Casa de los Pájaros,El Jardín de las Delicias,El 3 de mayo de 1808,La Maja Desnuda,La Maja Vestida,Las Meninas,El Triptico del Calvario,La Pintura de la Muerte,El Entierro del Conde de Orgaz,El Cristo de la Buena Muerte,La Virgen de la Leche,El Río de la Muerte,La Noche Estrellada,El Canto de los Aves,La Ciudad de la Luz,El Hombre de la Lanza,La Casa de la Muerte,El Jardín de las Delicias,El Pintor y el Espejo,La Fiesta de San Isidro,El Cielo de Madrid,El Retrato de un Soldado,La Luz del Oeste,La Ciudad de las Sombras
España,Pintura,Arte Moderno y Contemporáneo,25,Completado,,Guernica,Las Meninas,El 3 de mayo de 1808 en Madrid,El jardín de las delicias,La maja desnuda,La maja vestida,El sueño,El tres de mayo de 1808 en Madrid,El carnaval de los animales,El gran teatro del mundo,La casa de la memoria,La ciudad de la luz,La catedral de la noche,El hombre que mira,El jardín de las delicias,El retrato de don Juan de Austria,La muerte de Sardanápalo,La cena de los reyes magos,El entierro del conde de Orgaz,La Virgen de la leche,La familia de Carlos IV,El triunfo de la muerte,La batalla de los ángeles,El sacrificio de Isaac,El sueño de la razón produce monstruos
España,Escultura,Antigüedad (Romana/Griega),25,Completado,,El Hombre de El Carambolo,La Dama de Elche,El Caballero de Montelirio,El Toro de Osuna,La Venus de la Fuente de la Mora,El Toro de Guadalajara,La Cabeza de Baelo,La Dama de la Cerámica de Linares,El Jardín de las Hespérides (reconstrucción del relieve romano),El Candelabro de la Plaza de la Ciudad,La Estatua de Augusto en Tarragona,El Relieve de los Dioses del Templo de Diana en Mérida,La Estatua de Roma en el Museo de Cádiz,El Toro de la Puerta de la Muralla (Cádiz),La Estatua de la Victoria Alada (Museo Arqueológico Nacional),El Relieve de la Batalla de las Amazonas (Museo de Zaragoza),El Hermes de la Calzada de San Juan,La Estatua de Júpiter en Itálica,El Relieve de la Triumphus Augusti en Córdoba,El Toro de la Fuente de la Mora (versión original),La Dama de la Cabeza de Lutacio,El Caballero de la Roca de la Peña,La Estatua de Minerva en Tarragona,El Relieve de la Diosa Fortuna en Sagunto,La Estatua de la Diadema de Nîmes (copias y reconstrucciones)
